特許権者,特許番号,技術担当者,知財担当者,発明の内容,侵害可能性,侵害企業・製品候補,無効可能性,収益見込み,関連情報,進捗・メモ,特許公報リンク,重複チェック,特許番号(番号のみ)
NTT,特許07666636,布施,草野,球技の挙動評価,〇※,ProPlayAI（PitchAI、カナダ3MotionAI社）,,D,https://chatgpt.com/share/6888b4c6-0cf0-8006-9184-df70dcf05384,※侵害額が小さいので保留,,1,7666636
NTT,特許07492160,布施,草野,,,,,,,,,1,7492160
NTT,特許07396460,布施,草野,,,,,,,,,1,7396460
NTT,特許07396359,布施,草野,支援者選定,×,,,,,,,1,7396359
NTT,特許07248928,布施、高橋,草野,冷蔵庫レシピ,〇,,,,,,,1,7248928
NTT,特許07168093,布施,草野,３次元点群データ,〇,,,,,,,1,7168093
NTT,特許07090250,布施,草野,マンホールリスク,〇※,,,,,※共願のためNG,,1,7090250
NTT,特許06974732,布施,草野,影響因子混在範囲分析,×,,,,,,,1,6974732
オプティム,特許06267841,布施,奥野,ウェアラブル端末,〇,中国農業大学　研究開発段階,,E,https://chatgpt.com/share/689694c5-ad04-800b-bc9a-3c6223cfee4c,,,1,6267841
オプティム,特許06195960,布施,奥野,遠隔指示システム,〇,"①TeamViewer Assist AR（TeamViewer社）約1億円前後
②Vuforia Chalk（PTC社）約0.8〜1.2億円
③Microsoft Dynamics 365 Remote Assist / Teamsの空間注釈（Microsoft社）約10〜15億円
④Zoho Lens（Zoho Corporation社）約0.3〜0.5億円
⑤AirDroid Remote Support（Sand Studio社）約0.7〜1.0億円
⑥SightCall（米国）約1.5〜2.0億円
⑦TechSee（イスラエル）約1.5〜2.5億円
⑧VSight（リトアニア）約0.2〜0.3億円
",,A,https://chatgpt.com/share/6896950a-8420-800b-8ad7-1b347a45d004,要検討,,1,6195960
オプティム,特許06169748,布施,奥野,ネットのセキュリティシステム,✕,,,,https://chatgpt.com/share/6896960e-a978-800b-bb1a-607bbd4ff605,「所定の質問項目に対する回答」の該当性が問題（親出願意見書）。年齢によるフィルタリングのみではない,,1,6169748
オプティム,特許06145230,布施,奥野,遠隔診察システム,✕,,,,https://chatgpt.com/share/689696e4-960c-800b-b9b5-e78402e23c09,「医師の時給を変動させる」なし,,1,6145230
オプティム,特許06134302,布施,奥野,電化製品と通信可能な管理サーバ,✕,,,,https://chatgpt.com/share/689696e4-960c-800b-b9b5-e78402e23c09,「所定の電化製品から電話番号を特定する」なし,,1,6134302
オプティム,特許06105181,布施,奥野,殺虫器バランス調整システム,✕,,,,https://chatgpt.com/share/6896a3e2-2f38-800b-bdd1-518f586a918a,,,1,6105181
オプティム,特許06077068,布施,奥野,拡張現実システム,✕,,,,https://chatgpt.com/share/6896b6a6-fb10-800b-a772-b2d0c1226c1b,多くのASAアプリは位置は指定できても「方向」まで明示的に指定するUIがない,,1,6077068
オプティム,特許05997824,布施,奥野,遠隔端末,〇,"①Microsoft（Dynamics 365 Remote Assist / HoloLens）約100億円
②PTC（Vuforia Chalk）約1億円
③TeamViewer（Assist AR〈旧Pilot〉）約1億円
④Onsight　約0.5億円",,A,https://chatgpt.com/share/68981f17-aaac-800b-be04-3dcc6d3563a5,,,1,5997824
オプティム,特許05853003,布施,奥野,画面共有端末,△,TeamViewer（ドイツ）114.0,,A,https://chatgpt.com/share/689833a3-b73c-800b-ab3c-629ebd170086,「前記変化を検出した領域が、所定の範囲より大きい場合には、前記送信を中止する」要検討,,1,5853003
オプティム,特許05815650,布施,奥野,画面共有端末,〇,"①Parallels Access（Parallels社）約0.3億円
②Parallels Secure Workspace　0.1億円未満",,D,https://chatgpt.com/share/68984312-afa0-800b-848f-0fcd3eaf2d35,,,1,5815650
オプティム,特許05770782,布施,奥野,オペレータ端末,〇,Citrix Virtual Apps and Desktops 1200億円,,A,https://chatgpt.com/share/689a848f-d094-800b-a156-90ac753de6f0,"Google（Android端末のDuoプレビュー通話機能）約18,000億円",,1,5770782
オプティム,特許05687149,布施,奥野,アプリをDLするモジュールを備える通話端末,〇,"Google（Android端末のDuoプレビュー通話機能）約18,000億円",,A,https://chatgpt.com/share/689a9f4a-9454-800b-b1d0-3690eb21eab2,,,1,5687149
オプティム,特許05653301,布施,奥野,リモートシステム,〇,"①TeamViewer (Remote　)約180億円
②TeamViewer Tensor　約15億円",,A,https://chatgpt.com/share/689ab2a4-fedc-800b-898b-84b2cf96f488,,,1,5653301
オプティム,特許05398392,布施,奥野,空調機器制御装置,〇,"①tado° Smart AC Control (tado GmbH, ドイツ)0.4億円
②Ambi Climate (Ambi Labs, 香港)0.2億円
③Cielo Breez シリーズ (Cielo WiGle Inc., アメリカ)0.03億円",,D,https://chatgpt.com/share/689ac4c7-c79c-800b-a8c9-088529da1b7e,,,1,5398392
オプティム,特許05378970,布施,奥野,販売価格決定装置,〇,"Spot by NetApp　約5.0億円
",,B,https://chatgpt.com/share/689d41ab-9e34-800b-957c-e2c6d935a932,,,1,5378970
オプティム,特許05148670,布施,奥野,固有アドレスにより電化製品の設定を行う設定方法,〇,"①Amazon Alexa 約300億円
②Philips Hue　約500億円
③SwitchBotシリーズ　約200億円",,A,https://chatgpt.com/share/689e8daf-d510-800b-bf56-06b5962421a2,,,1,5148670
オプティム,特許05010653,布施,奥野,電源制御装置,〇,Amazon Echoシリーズ約800億円,,A,https://chatgpt.com/share/689e953f-a45c-800b-9870-b66f19697f3c,,,1,5010653
オプティム,特許04895405,布施,奥野,レピュテーションに基づいたセキュリティ管理,〇,"①Cisco　約35000億円
②Palo Alto Networks　約1000億円
③Check Point Software　約800億円
④Forescout　約150億円
⑤Huawei　約2500億円",,A,https://chatgpt.com/share/689ebbc9-2da8-800b-8823-2ce9eb637696,,,1,4895405
IBM,特許05852399,柿崎,草野,アプリケーション間コミュニケーション,〇,"Red Hat Enterprise Linux(2,200億)
SUSE Linux Enterprise Server(150～200億)
Ubuntu（Canonical社）(30～50億円)",,A,,,,1,5852399
IBM,特許05802041,柿崎,草野,,,,,,,年金不納,,1,5802041
IBM,特許05783630,柿崎,草野,デジタル署名,〇,"DocuSign（1,500億円）
Galaxyシリーズ（14,800億円）
Huawei（約1,860億円）
APPLE（）",,A,,,,1,5783630
IBM,特許05754704,柿崎,草野,システム監視,〇,,,D,,売上小,,1,5754704
IBM,特許05731223,柿崎,草野,,,,,,,,,1,5731223
IBM,特許05710325,柿崎,草野,マルコフ決定,〇,"Stem社 - Athenaプラットフォーム：約6億円  
Moixa社 - GridShare：約5億円  
Nuvve社 - GIVeプラットフォーム：約2億円  
Huawei社 - AI搭載家庭用エネルギー貯蔵システム：約200億円  
AutoGrid Systems社 - Flexバーチャル発電所プラットフォーム：約20億円  
ToolsGroup社 - 在庫最適化ソフトウェア：約3億円",,B,,,,1,5710325
IBM,特許05689333,柿崎,草野,ネットワーク異常検知,〇,,,C,"侵害判断・売上推定
https://chatgpt.com/share/689178e8-d1d4-8010-b0b0-ccd476a336b6",,,1,5689333
IBM,特許05669851,柿崎,草野,バイパスプロトコル,〇,,,D,"侵害判断・売上推定
https://chatgpt.com/share/689177e5-51a4-8010-b681-f6ccdebb68ef",売上小,,1,5669851
IBM,特許05570008,柿崎,草野,ラプラシアン,〇※,,,E,"侵害判定
https://chatgpt.com/share/68919ec8-6b18-8010-bda8-48d5dead173a",CIscoがLOT加入企業,,1,5570008
IBM,特許05295355,柿崎,草野,,〇,Apple330億円,,B,,,,1,5295355
IBM,特許06351723,柿崎,岩瀬,,,,,,,権利移転,,1,6351723
